List of importing markets for a product exported by Mayotte Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
Tunisia	0	0	0	0	0	0	0	0	0	
Turkey	2	0	1	0	0	0	0	0	0	
Turkmenistan	0	0	0	0	0	0	0	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	
Uganda	0	0	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	0	
United Arab Emirates	0	0	10	0	16	0	1	1	52	
United Kingdom	8	0	0	0	0	0	0	10	0	
United States of America	12	7	0	12	1	43	0	1	0	
Uruguay	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	
Viet Nam	0	0	0	0	0	0	0	6	0	
Wallis and Futuna Islands	0	0	0	0	0	0	0	5	0	
Yemen	0	0	0	0	0	0	0	0	0	
Zimbabwe	0	0	0	0	0	0	7	0	0	
