List of importing markets for a product exported by Cuba Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	
Jordan	1,061	47	154	33	79	0	
Kazakhstan	2	40	2,096	10,570	0	0	
Kenya	0	0	0	0	0	0	
Kiribati	0	0	0	1	0	0	
Korea, Democratic People's Republic of	3,803	49	4,034	153	3,132	88	
Korea, Republic of	148	1,373	1,109	2,651	1,248	1,557	
Kyrgyzstan	4	0	0	0	0	0	
Lao People's Democratic Republic	12	11	5	5	4	3	
Latvia	0	0	96	306	145	0	
Lebanon	4	644	146	43	0	95	
Liberia	0	0	0	0	0	0	
Libya	0	0	60	0	0	0	
Lithuania	0	0	3,714	13	0	0	
Luxembourg	1	62	0	0	0	83	
Macao, China	0	0	3	30	0	0	
Macedonia, The Former Yugoslav Republic of	2	0	0	0	0	0	
Madagascar	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	
Malaysia	0	3,851	32	40	575	621	
Mali	0	0	0	0	0	581	
Malta	27	0	283	0	0	0	
Mauritania	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	
Mexico	26,381	25,230	20,180	22,455	20,333	36,823	
Micronesia (Federated States of)	0	0	0	0	0	0	
Mongolia	5	5	8	0	6	3	
Montserrat	0	0	0	0	0	0	
Morocco	0	0	286	1,206	2,710	1,975	
Mozambique	0	4	0	0	24	0	
Myanmar	1,650	0	0	0	0	0	
Namibia	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	
Netherland Antilles	1,824	2,151	3,434	2,293	4,240	3,993	
Netherlands	333,898	296,563	413,816	647,062	645,089	27,842	
New Caledonia	5	0	0	0	0	0	
New Zealand	41	57	131	111	114	162	
Nicaragua	927	1,436	1,174	652	491	871	
Niger	0	0	0	0	0	0	
Niue	0	0	0	0	0	0	
Norfolk Island	0	307	0	0	0	0	
Northern Mariana Islands	0	0	0	0	0	0	
Norway	12	45	75	78	17	99	
Pakistan	308	909	1,014	606	7,257	4,595	
Palestine, State of	0	0	0	0	0	0	
Panama	1,832	1,722	2,398	2,557	7,491	13,427	
Papua New Guinea	0	0	0	0	0	0	
Paraguay	310	315	426	529	502	731	
Peru	672	837	913	1,331	1,806	2,239	
Philippines	129	0	1	12	727	352	
Pitcairn	0	0	0	0	0	0	
Poland	16	0	37	289	297	365	
Portugal	21,900	27,867	18,452	28,282	10,263	2,255	
Qatar	0	0	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	
Romania	13,018	27	8,268	2,196	4,910	0	
Russian Federation	402,567	278,364	135,253	120,825	56,392	94,575	
Rwanda	0	0	0	0	0	1	
Saint Helena	0	0	0	0	0	0	
Saint Kitts and Nevis	0	32	6	0	0	370	
Saint Lucia	4	3	7	1	0	474	
Saint Vincent and the Grenadines	0	0	0	16	15	372	
Samoa	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	8	2	6	
Saudi Arabia	0	0	0	0	0	0	
Senegal	0	0	0	0	0	0	
Serbia	0	0	0	0	0	36	
Serbia and Montenegro	113	121	0	205	2	0	
Seychelles	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	
Singapore	6,362	4,948	4	29	1	0	
Slovakia	120	0	9	186	1	33	
Slovenia	0	0	62	0	0	21	
South Africa	59	42	505	1,460	1,884	3,239	
Spain	189,105	144,478	178,219	174,200	159,482	123,411	
Sri Lanka	15	0	245	403	22	0	
St. Pierre and Miquelon	13	4	3	0	0	0	
Sudan (North + South)	105	116	12	30	77	69	
Suriname	16	0	24	1	38	611	
Swaziland	0	0	0	0	0	0	
Sweden	2,088	965	2,080	2,791	2,108	1,260	
Switzerland	30,260	15,109	25,578	25,067	14,392	11,378	
Syrian Arab Republic	375	2,618	99	114	214	125	
Taipei, Chinese	1,174	3,793	2,227	2,235	2,116	5,260	
Tajikistan	0	0	0	205	0	0	
Tanzania, United Republic of	0	0	0	0	0	0	
Thailand	23	31	77	119	27	166	
Togo	0	5,685	0	29	13,076	0	
Tokelau	0	0	0	0	0	0	
Tonga	0	0	0	0	0	0	
Trinidad and Tobago	120	681	306	2,735	2,079	549	
Tunisia	12,858	10,534	5,991	1,822	107	217	
Turkey	15	0	801	333	906	2,088	
Turkmenistan	0	0	0	0	0	29	
Turks and Caicos Islands	512	492	608	593	69	0	
Tuvalu	0	0	0	0	0	0	
Uganda	0	0	6	11	0	4	
Ukraine	689	38	7,676	9,377	442	869	
United Arab Emirates	27	20	24	98	628	272	
United Kingdom	20,460	9,932	10,013	13,313	12,379	11,686	
United States Minor Outlying Islands	0	0	0	0	0	0	
United States of America	0	185	289	314	570	367	
Uruguay	1,706	7,866	352	398	602	898	
Uzbekistan	10	2	3,835	0	16	0	
Vanuatu	0	0	0	1,558	633	10	
Venezuela	21,887	19,369	189,857	367,036	434,152	382,032	
Viet Nam	295	153	233	283	590	1,734	
Wallis and Futuna Islands	0	0	0	0	0	0	
Western Sahara	0	0	0	0	0	0	
Yemen	38	262	18	78	15	65	
Zambia	0	0	0	0	0	0	
Zimbabwe	0	0	0	60	1	0	
