List of importing markets for a product exported by Comoros Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
Israel	0	0	0	0	0	0	0	0	0	
Italy	0	0	0	0	0	0	0	16	93	
Jamaica	0	0	0	0	0	0	0	1	0	
Japan	0	0	393	68	15	0	0	0	18	
Jordan	0	0	0	0	0	0	0	0	0	
Kenya	0	0	3	0	4	0	0	39	18	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	
Korea, Republic of	0	0	0	0	0	0	0	0	0	
Kuwait	0	0	0	0	0	0	0	2	1	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	0	0	0	0	
Libya	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	
Madagascar	60	121	60	4	37	17	0	168	334	
Malaysia	0	0	0	0	0	0	0	0	2	
Malta	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	0	0	0	0	0	0	0	
Mauritius	0	1	331	52	82	4	10	7	413	
Mayotte	40	11	52	57	0	0	0	117	3	
Morocco	0	0	0	0	0	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	
Netherland Antilles	0	0	0	0	0	0	0	6	0	
Netherlands	0	0	0	0	0	0	24	239	775	
Neutral Zone	0	0	0	0	0	0	0	0	0	
New Caledonia	0	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	0	0	
Niger	0	0	43	0	0	0	0	0	0	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	
Norway	0	0	0	0	0	0	0	0	0	
Oman	0	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	12	13	0	56	47	
Paraguay	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	
Qatar	0	0	0	0	0	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	0	6	6	
Romania	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	0	0	0	0	0	21	
Rwanda	0	0	0	0	0	0	0	0	0	
Saint Lucia	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	1	0	0	0	0	0	73	
Senegal	0	0	0	0	0	0	0	4	0	
Seychelles	0	0	0	0	0	0	0	0	0	
Singapore	136	60	0	156	58	182	113	663	3,013	
Somalia	0	0	0	0	0	0	0	0	0	
South Africa	0	0	28	14	4	37	0	22	84	
Spain	0	0	0	0	0	0	0	22	0	
Sudan (North + South)	4	3	2	0	9	0	16	0	81	
Suriname	0	0	0	0	0	0	0	0	0	
Swaziland	0	0	0	0	0	0	0	0	0	
Sweden	0	0	0	0	0	0	0	0	0	
Switzerland	0	0	0	0	0	0	0	0	0	
Syrian Arab Republic	0	0	0	0	0	0	0	43	0	
Taipei, Chinese	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	0	0	4	1	3	0	0	91	47	
Thailand	0	0	0	0	0	0	0	0	0	
Timor-Leste	0	0	0	0	0	0	0	0	0	
Togo	0	18	0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	
Tunisia	0	0	0	0	0	0	0	1	1	
Turkey	0	0	0	0	0	0	0	0	0	
Turkmenistan	0	0	0	0	0	0	0	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	
United Arab Emirates	211	123	4	56	64	191	54	36	189	
United Kingdom	237	936	0	0	0	6	0	74	23	
United States Minor Outlying Islands	0	0	0	5,502	0	0	0	0	0	
United States of America	618	2,658	0	683	0	0	0	243	428	
Uruguay	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	
Viet Nam	0	0	0	0	0	0	0	367	341	
Yemen	0	0	427	0	3	14	28	0	43	
Zimbabwe	0	0	0	0	0	0	0	0	0	
