List of importing markets for a product exported by Trinidad and Tobago Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	
Brunei Darussalam	0	0	23	0	3	0	0	0	53	0	
Bulgaria	79	0	0	0	34	59	0	784	0	0	
Burkina Faso	0	12	0	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	2	0	0	
Cabo Verde	150	1,755	0	0	0	0	0	2,238	28	0	
Cambodia	10	0	2	0	0	0	0	0	0	0	
Cameroon	0	0	4	1	0	0	0	31	4,175	0	
Canada	99,101	91,912	96,035	83,469	103,864	170,488	135,441	192,026	66,247	176,784	
Cayman Islands	614	269	2,907	53,860	64,747	2,654	17,660	8,009	4,609	5,404	
Central African Republic	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	2	0	
Chile	92	56	28	315	3,760	131	4,899	28	2,504	145,756	
China	629	1,905	4,170	2,131	3,819	7,250	22,279	12,303	50,980	33,237	
Christmas Islands	0	0	0	0	0	4	2	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	
Colombia	29,131	53,032	27,447	33,562	149,487	185,746	272,875	272,542	119,078	287,363	
Comoros	7	20	58	1	23	0	7	0	0	5	
Congo	303	19	7	3	17	0	0	0	19	0	
Cook Islands	0	0	0	0	0	0	0	25	0	0	
Costa Rica	11,472	3,271	6,938	6,952	5,411	19,960	63,294	88,168	59,970	130,381	
Côte d'Ivoire	0	0	0	698	0	0	5,321	5,670	2,506	0	
Croatia	0	0	0	0	0	0	0	0	1	0	
Cuba	13,639	12,647	13,118	17,434	16,398	18,179	16,535	31,959	2,103	21,378	
Cyprus	5,911	7,016	61	0	0	22	492	901	70	214	
Czech Republic	0	0	0	0	0	11	0	0	0	0	
Democratic Republic of the Congo	52	47	0	17	20	32	60	25	0	134	
Denmark	24,248	139	1,092	271	94	11	35	297	539	652	
Dominica	21,723	15,732	19,481	17,978	30,047	35,609	30,647	45,799	24,223	29,200	
Dominican Republic	180,559	78,354	85,039	97,056	123,348	155,348	353,587	519,012	126,386	134,159	
Ecuador	1,614	3,742	9,442	4,014	11,818	11,686	6,581	8,013	5,539	18,712	
Egypt	227	364	67	75	85	4	23	115	139	30	
El Salvador	35,369	22,529	37,617	6,675	7,863	9,970	18,281	14,893	3,042	81	
Equatorial Guinea	164	0	32	0	296	0	0	1	18	31	
Estonia	1	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	0	0	0	0	1	16	0	0	
Faroe Islands	0	0	19	0	0	0	0	0	0	0	
Fiji	0	0	3	0	0	8	0	0	0	0	
Finland	2,199	0	79	6	71	44	1	31	3	15	
France	197,075	175,892	232,991	165,766	426,615	441,905	257,935	360,376	126,428	246,082	
Free Zones	81	55	25,960	48	365	14	0	0	0	0	
French Polynesia	0	0	0	0	0	0	0	0	17	3	
French South Antarctic Territories	52	74	273	557	5,556	6,430	2,667	8,542	57	15	
Gabon	0	4	0	6	0	2	1	39	55	146,681	
Gambia	28	101	47	18	0	0	0	0	0	0	
Georgia	0	0	0	515	0	12,978	1	1	2	9,304	
Germany	17,271	2,015	9,671	14,031	13,397	16,193	306,847	25,247	26,222	61,951	
Ghana	279	141	158	364	2,868	713	928	687	323	4	
Gibraltar	145	0	0	29	0	18,416	1	1	0	0	
Greece	2,279	7,037	692	806	1,018	1,582	1,480	39,519	1,581	27,391	
Greenland	0	0	0	0	0	0	0	0	0	0	
Grenada	51,129	44,672	54,306	49,017	98,531	106,292	98,729	112,672	52,479	54,034	
Guatemala	57,919	46,144	35,340	13,383	63,072	23,454	31,321	36,022	2,966	36,429	
Guinea	0	0	84	3	25	1	5	0	2	0	
Guyana	95,905	82,490	150,871	121,834	274,334	338,321	241,107	319,101	169,864	268,452	
Haiti	4,608	4,521	7,735	5,843	4,285	16,379	32,664	33,308	7,972	10,490	
Honduras	45,025	33,947	41,824	8,679	79,602	22,743	38,490	66,935	7,347	11,789	
Hong Kong, China	272	52	28	78	183	1,553	336	417	2,775	600	
Hungary	0	0	0	0	54,209	222,721	42,617	58,050	46,617	32,644	
Iceland	0	0	0	1	0	0	17	0	0	0	
India	350	1,341	3,625	16,727	2,015	560	78,161	84,402	94,899	27,815	
Indonesia	2,049	4,624	14,250	2,622	396	4,841	27,689	27,705	9,948	7,446	
Iran (Islamic Republic of)	0	34	0	60	291	0	0	101	27	0	
Iraq	0	0	0	0	0	0	0	0	0	0	
Ireland	45	78	90	344	275	460	544	909	292	147	
Israel	0	7	15	1,361	13	2,649	52	0	30	21	
Italy	8,534	25,752	9,997	15,897	15,059	20,493	28,961	18,302	23,797	18,107	
Jamaica	356,677	292,614	355,985	244,519	717,181	808,974	610,213	1,249,721	476,348	710,000	
Japan	155,632	1,376	731	775	757	71,695	75,098	130,199	6,399	206	
Jordan	0	13	11	0	0	0	0	0	0	0	
Kazakhstan	0	2	0	0	0	0	10	195	25	23	
Kenya	19	15	14	8	81	0	0	0	0	0	
Korea, Democratic People's Republic of	339	246	30	0	67	0	2,154	293	20,996	16,796	
Korea, Republic of	466	403	224	6,410	544	404	6,506	236,410	134,641	59,503	
Kuwait	2	1	0	0	4	10	0	2	6,865	11,206	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	0	
Latvia	10	0	0	1	0	0	2	0	0	0	
Lebanon	8	4	0	12	0	0	0	25	0	0	
Lesotho	0	0	0	0	0	1	0	0	0	0	
Liberia	12,146	0	331	0	1	0	49	53,091	2,696	140,803	
Libya	0	0	0	0	0	0	29	0	86	0	
Lithuania	57	0	0	0	0	0	0	0	0	0	
Luxembourg	302	2	2	1	0	0	11	0	4,642	10,020	
Macao, China	0	0	6	8	0	0	0	0	0	0	
Madagascar	1	0	0	0	0	8	0	665	121	0	
Malawi	0	0	0	0	0	0	0	0	0	0	
Malaysia	78	38	8	24	8	36	13	5,593	977	357	
Maldives	0	0	0	0	1	0	10	0	0	0	
Mali	0	0	0	0	0	0	0	0	0	0	
Malta	2,625	85	22	1	5	6	126	0	0	158	
Marshall Islands	297	0	0	0	0	0	0	0	0	0	
Mauritania	0	9	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	94,685	136,347	
Mexico	377,267	54,497	63,276	136,748	121,938	222,193	213,571	591,182	107,245	67,612	
Mongolia	0	0	0	0	8	0	0	0	0	0	
Montserrat	1,058	890	913	784	1,356	1,764	2,311	2,586	1,205	766	
Morocco	436	701	2,536	0	0	3	0	15,622	3,917	8,309	
Mozambique	1	0	0	0	0	0	0	0	0	0	
Myanmar	0	0	0	0	1	0	0	0	0	0	
Namibia	96	8	0	20	38	19	34	24	28	9	
Nauru	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	69,953	55,182	41,875	20,010	50,964	92,176	91,562	320,486	102,322	108,050	
Netherlands	54,330	58,508	31,862	15,068	44,980	83,775	261,831	563,742	75,677	68,915	
New Caledonia	0	22	0	0	0	0	0	0	0	0	
New Zealand	145	3	19	6	84	170	305	48	42	55	
Nicaragua	11,360	8,293	17,493	9,234	12,106	9,312	8,178	6,639	4,402	2,217	
Niger	0	0	0	0	0	0	0	0	0	0	
Nigeria	6,362	0	2,161	206	160	60,363	27,270	98,115	1,174	1,129	
Niue	0	0	0	0	0	0	0	0	0	0	
Norfolk Island	0	0	0	0	0	0	0	0	0	0	
Norway	1,014	4,928	55	146	104	17,269	990	21,505	2,973	74	
Oman	15	13	45	27	12	4	11	0	8	1,101	
Pakistan	0	19	69	199	22	19	83	33	318	330	
Palau	0	0	3	0	0	0	0	0	0	0	
Panama	28,978	29,102	41,706	16,038	25,839	72,225	97,993	194,525	50,201	160,962	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	
Paraguay	118	18	0	0	0	0	17	49	37	0	
Peru	5,910	5,747	10,480	5,812	5,952	4,937	13,446	10,972	297	18,797	
Philippines	234	0	0	0	17	13	0	0	9	13	
Pitcairn	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	1,748	1,651	1,731	5,229	0	7,160	2	0	
Portugal	568	3,735	7,614	3,924	1,756	12,597	14,447	6,704	73,985	43,880	
Qatar	0	7	4,180	10,352	3,749	1	48	2	20	0	
Romania	41	0	0	7	0	0	0	29	14	0	
Russian Federation	475	4	6,721	62	0	123	253	0	599	196	
Rwanda	3	0	0	0	0	0	0	0	0	0	
Saint Helena	0	0	0	0	0	0	5	0	0	1	
Saint Kitts and Nevis	24,419	17,641	26,032	18,136	38,544	69,374	42,508	41,204	22,949	24,031	
Saint Lucia	62,242	45,597	50,405	48,634	83,409	115,909	94,946	149,182	77,468	95,665	
Saint Vincent and the Grenadines	41,761	34,073	36,231	32,648	62,172	81,015	65,597	84,549	47,439	58,575	
Samoa	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	10	0	0	0	0	1	0	0	0	2	
Saudi Arabia	14	12	428	275	143	79	56	126	2,059	488	
Senegal	2,563	0	1,002	0	1,998	819	7,908	11,700	3	17,933	
Serbia	0	0	0	0	0	0	81	68	0	0	
Serbia and Montenegro	205	0	5	123	49	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	185	0	0	
Ship stores and bunkers	0	41,153	115,807	0	0	0	0	0	55,007	0	
Sierra Leone	0	5	1	63	0	165	192	29	0	32	
Singapore	6,473	4,532	1,118	8,416	831	399	31,672	4,707	1,987	6,527	
Slovakia	0	0	0	0	0	2	9	3	0	0	
Slovenia	0	0	14	0	58	0	0	0	0	0	
Solomon Islands	0	0	0	0	1	0	0	0	0	0	
Somalia	0	0	0	0	0	0	0	0	0	0	
South Africa	275	3,184	190	312	442	510	10,351	40,765	4,660	774	
Spain	35,974	92,136	43,627	19,769	12,096	744,345	531,913	1,163,483	462,257	218,796	
Sri Lanka	3	25	0	86	94	175	2	0	1	16	
St. Pierre and Miquelon	61	5	9	0	0	0	8	0	0	13	
Sudan (North + South)	0	0	0	0	0	0	0	0	0	239	
Suriname	76,383	55,548	86,647	76,924	225,334	296,255	197,439	456,896	185,223	300,279	
Swaziland	0	0	0	0	0	0	0	3	0	41,336	
Sweden	6,140	42	1,366	48	3,012	21	25	82	65	46	
Switzerland	107,120	72	785	306	72	185	79,058	287	241	66,942	
Syrian Arab Republic	0	0	0	0	0	0	0	28	0	0	
Taipei, Chinese	4,067	616	489	629	1,319	1,265	16,873	6,156	1,072	3,990	
Tajikistan	0	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	0	19	0	0	0	2	0	0	8	0	
Thailand	107	5	0	339	79	75	436	710	496	403	
Togo	0	0	0	0	1	0	1	2,118	1,104	55	
Tokelau	0	0	0	0	0	0	0	0	0	0	
Tonga	0	0	20	2	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	
Tunisia	0	113	12	0	0	5	0	0	43	142	
Turkey	103	66	1,394	156	79	143	49	10,288	16,079	31,493	
Turkmenistan	0	0	0	0	0	18	11	0	0	4	
Turks and Caicos Islands	481	123	66	133	100	737	711	654	395	117	
Tuvalu	0	0	1	0	0	0	0	0	0	0	
Uganda	0	0	0	0	0	0	0	16	0	0	
Ukraine	2	0	0	0	1,370	29	21	0	0	0	
United Arab Emirates	248	1,504	962	443	393	1,082	306	2,088	431	2,306	
United Kingdom	71,271	56,725	57,337	101,069	73,159	112,334	224,228	333,579	370,750	214,408	
United States Minor Outlying Islands	2	3	0	4	7	0	5	47	1	4,297	
United States of America	2,164,520	1,941,805	2,874,955	4,549,395	5,630,869	8,142,757	7,734,592	8,581,361	4,961,655	5,278,691	
Uruguay	59	1	0	1,927	6	0	90	1	3	22,794	
Uzbekistan	0	0	0	0	0	0	0	0	0	0	
Vanuatu	311	0	0	0	0	0	2	0	0	0	
Venezuela	59,696	23,913	42,524	17,785	30,505	14,267	13,812	22,388	7,304	40,280	
Viet Nam	16	16	50	430	59	4	109	115	2,744	5,147	
Western Sahara	0	0	0	0	0	0	0	0	0	0	
Yemen	9	2	0	29	0	0	1	0	0	0	
Zambia	2,893	0	0	0	0	0	0	0	0	1	
Zimbabwe	0	9	0	0	0	0	0	0	0	10,388	
