List of importing markets for a product exported by Seychelles Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	
Ecuador	0	0	0		0	0		0	
Egypt	0	1	0		0	0		0	
Estonia	0	0	0		0	0		0	
Ethiopia	0	0	0		0	0		0	
Faroe Islands	0	0	0		0	0		0	
Fiji	0	0	0		0	0		0	
Finland	4,993	1,739	1,661		227	161		463	
France	39,355	53,580	68,648		50,085	58,628		55,176	
Gabon	0	0	0		0	0		0	
Georgia	0	0	0		0	0		18	
Germany	9,291	14,917	15,922		21,574	8,247		15,938	
Ghana	0	0	94		389	299		280	
Greece	679	623	739		393	305		206	
Grenada	0	0	0		0	0		0	
Guyana	0	0	0		0	0		3	
Honduras	0	0	0		0	0		0	
Hong Kong, China	361	222	346		573	1,089		1,614	
Hungary	0	0	0		0	0		25	
Iceland	0	0	0		0	0		212	
India	12	9	24		424	49		120	
Indonesia	0	35	0		120	0		16	
Iran (Islamic Republic of)	39	233	10		0	0		68	
Ireland	2	2	86		1,317	3,175		386	
Israel	2,924	173	0		0	0		81	
Italy	23,222	16,883	32,155		26,324	39,264		16,336	
Jamaica	0	1	0		0	0		0	
Japan	1,923	1,892	1,162		1,367	1,226		113	
Jordan	0	0	0		0	0		0	
Kazakhstan	0	0	0		0	0		149	
Kenya	66	64	118		14	9		87	
Korea, Democratic People's Republic of	0	0	0		40	0		0	
Korea, Republic of	0	0	0		0	0		1	
Kuwait	122	134	0		0	0		0	
Latvia	0	0	0		0	0		0	
Lebanon	0	0	0		16	0		0	
Libya	0	0	0		61	0		0	
Luxembourg	0	0	0		0	0		0	
Madagascar	3,553	2,623	152		41	54		973	
Malawi	0	0	0		0	0		0	
Malaysia	45	64	95		786	91		138	
Maldives	0	0	0		3	74		255	
Malta	241	710	264		489	397		14	
Mauritania	0	0	0		0	0		18	
Mauritius	206	232	385		441	488		1,088	
Mexico	0	0	0		0	0		1	
Mongolia	0	0	0		0	0		14	
Morocco	0	0	0		0	0		13	
Mozambique	0	122	0		0	0		4	
Namibia	0	0	4		0	0		0	
Nepal	0	0	0		0	0		0	
Netherland Antilles	0	0	0		0	0		10	
Netherlands	4,005	4,086	2,601		6,200	6,892		3,944	
New Caledonia	0	0	0		0	0		0	
New Zealand	0	0	0		0	0		102	
Niger	0	0	0		0	0		21	
Nigeria	0	0	0		0	0		1	
Niue	0	0	0		0	0		0	
Norway	0	1	0		20	1		544	
Oman	16	71	0		0	0		7	
Pakistan	12	10	0		0	1		0	
Palestine, State of	0	0	0		0	0		0	
Panama	0	0	0		0	0		0	
Paraguay	0	0	0		0	27		0	
Philippines	0	299	283		901	668		88	
Poland	0	0	0		0	0		0	
Portugal	826	184	0		0	0		11	
Qatar	0	0	0		0	0		1	
Republic of Moldova	0	0	0		0	0		0	
Romania	0	0	0		0	0		0	
Russian Federation	0	0	0		0	0		268	
Rwanda	0	0	0		0	0		0	
Saint Helena	0	0	0		0	0		0	
Saudi Arabia	0	45,382	53,425		122,269	159,788		91,459	
Senegal	0	0	0		0	0		0	
Serbia	0	0	0		0	0		0	
Serbia and Montenegro	1	0	0		0	0		0	
Seychelles	0	0	0		0	0		0	
Ship stores and bunkers	0	0	21		13	21		7	
Sierra Leone	0	0	0		0	0		0	
Singapore	86	421	1,573		767	770		702	
Slovakia	0	0	0		1	0		0	
Slovenia	0	0	0		0	0		0	
South Africa	2,211	1,166	1,348		2,880	870		716	
Spain	90	619	395		79	0		221	
Sri Lanka	0	0	551		1,899	2,566		2,433	
Sudan (North + South)	0	0	0		0	0		0	
Suriname	0	0	0		0	0		0	
Swaziland	0	0	0		15	0		251	
Sweden	489	361	201		0	0		7	
Switzerland	53	110	180		234	237		2,738	
Syrian Arab Republic	0	0	0		0	0		0	
Taipei, Chinese	302	337	0		39	63		50	
Tanzania, United Republic of	1	1	0		10	19		107	
Thailand	9	0	8		149	19		25	
Tokelau	0	0	0		0	0		0	
Trinidad and Tobago	0	8	0		0	0		0	
Tunisia	0	0	0		0	0		0	
Turkey	129	0	0		0	6		24	
Turks and Caicos Islands	0	0	0		0	0		0	
Uganda	0	65	0		0	0		0	
Ukraine	0	0	0		0	0		190	
United Arab Emirates	77	352	259		375	351		591	
United Kingdom	65,716	76,443	86,451		96,860	90,879		45,739	
United States Minor Outlying Islands	0	0	0		0	0		0	
United States of America	34	179	2,219		1,150	1,600		1,820	
Uruguay	0	0	0		0	0		20	
Vanuatu	0	0	0		0	0		0	
Venezuela	0	0	0		0	0		0	
Viet Nam	0	0	0		58	0		0	
Yemen	0	0	0		0	5		0	
Zambia	1	0	0		0	0		0	
Zimbabwe	0	1	0		0	0		0	
