List of importing markets for a product exported by Nepal Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
United Arab Emirates	996						7,437	2,335	5,954	
United Kingdom	13,606						18,466	17,673	19,816	
United States Minor Outlying Islands	0						11	5	0	
United States of America	189,734						63,085	54,654	70,282	
Uruguay	22						1	2	0	
Vanuatu	0						0	0	0	
Venezuela	0						61	0	58	
Viet Nam	0						1,754	780	3,314	
Wallis and Futuna Islands	0						0	12	0	
Yemen	1						16	0	0	
Zambia	0						50	2	0	
Zimbabwe	0						0	2	7	
