List of importing markets for a product exported by Bahrain Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
Croatia	16	0	0	11	69	92	48	84	143	161	90	
Cuba	0	0	90	0	0	0	0	0	0	0	0	
Cyprus	11	68	314	389	282	41	958	812	114	161	373	
Czech Republic	0	0	73	26	466	111	84	2,254	32	335	7,043	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	9	
Denmark	7	126	240	933	1,009	407	909	1,453	1,515	436	6,201	
Djibouti	0	0	0	160	209	62	99	597	516	520	648	
Dominica	0	0	0	0	0	0	0	0	0	0	101	
Dominican Republic	0	0	0	0	0	0	0	0	47	0	0	
Ecuador	0	0	0	0	0	0	0	0	885	362	87	
Egypt	7,459	4,222	5,010	8,207	13,331	30,473	42,767	85,645	69,583	136,956	94,966	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	
Eritrea	0	12	0	0	0	0	0	0	31	50	1,219	
Estonia	0	0	0	0	0	0	75	19	0	0	419	
Ethiopia	171	1	97	0	0	0	0	36	0	138	96	
Falkland Islands (Malvinas)	0	0	0	0	3	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	241	0	0	0	10	
Finland	0	37	13	4,936	3,265	4,881	8,095	13,920	11,184	21,893	10,355	
France	6,270	5,119	4,977	9,103	15,531	36,965	23,498	35,778	29,387	49,514	42,469	
French Polynesia	0	19	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0	36	0	
Gambia	0	0	0	0	0	0	0	0	2	0	168	
Georgia	0	0	0	0	0	0	0	0	0	0	0	
Germany	10,665	4,568	8,529	13,031	14,648	17,201	24,534	20,603	18,158	51,743	45,829	
Ghana	23	101	304	66	62	13	612	564	82	0	84	
Gibraltar	85	0	35	0	0	110	0	0	346	933	0	
Greece	3,520	3,877	94	206	511	440	6	630	497	6,632	433	
Grenada	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	102	81	4,367	
Guinea	0	0	0	0	0	0	281	0	0	563	1,301	
Guinea-Bissau	0	0	353	41	0	57	148	0	361	0	0	
Guyana	0	0	0	0	0	0	0	0	3	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	30	
Honduras	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	8,360	7,639	9,035	15,940	3,718	1,504	19,356	1,167	1,706	4,161	4,423	
Hungary	201	0	50	0	0	3,235	7,788	350	0	513	464	
Iceland	9	53	139	491	1,586	1,416	0	0	45	443	0	
India	80,751	55,022	112,914	118,982	102,459	159,242	134,019	163,398	220,056	402,885	492,941	
Indonesia	50,766	32,721	19,138	17,322	31,810	11,354	10,953	30,990	5,551	34,196	93,477	
Iran (Islamic Republic of)	47,201	43,176	51,164	6,137	58,680	50,323	34,944	48,967	15,770	30,267	9,582	
Iraq	11,230	5,220	6,243	1,671	3,816	2,110	2,968	32,431	28,725	20,856	44,198	
Ireland	485	15	19	437	445	5,556	2,033	459	222	33	175	
Italy	57,335	51,271	47,391	41,212	38,339	35,645	73,179	84,845	44,273	103,753	158,890	
Jamaica	0	0	0	0	0	0	0	0	0	121	0	
Japan	59,875	67,849	61,993	70,247	96,088	86,103	26,569	46,217	19,694	25,100	22,780	
Jordan	9,755	4,260	12,697	11,661	14,741	29,097	46,497	116,015	67,674	38,120	57,823	
Kazakhstan	0	0	0	0	74	146	0	45	8	0	5	
Kenya	980	725	5,100	606	1,476	3,984	4,178	894	895	2,156	3,689	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	155	700	0	187	252	1,646	29	3	924	9	22,175	
Korea, Republic of	24,239	42,371	46,774	42,738	111,241	85,691	42,403	53,910	15,786	23,044	4,084	
Kuwait	42,016	40,148	62,364	69,663	81,922	79,545	91,744	158,428	96,355	114,504	162,244	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	479	0	76	0	1	0	0	0	78	0	
Latvia	96	0	0	0	0	0	0	0	0	0	593	
Lebanon	3,198	2,204	4,589	2,221	2,445	3,913	4,171	7,861	5,347	15,346	7,881	
Lesotho	0	0	0	0	0	0	0	0	40	63	0	
Liberia	0	0	1,463	80	0	8	269	224	1,971	940	2,144	
Libya	7,330	28,798	2,491	9,293	20,771	5,602	4,685	6,240	4,327	37,042	16,375	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	67	0	0	0	130	196	3	77	
Macao, China	0	55	45	4	0	2	115	10	680	7	2	
Macedonia, The Former Yugoslav Republic of	0	7	0	30	0	0	0	0	0	0	0	
Madagascar	0	69	111	0	0	0	0	29	80	1,366	1	
Malawi	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	79,881	30,150	58,120	41,489	21,227	26,505	45,565	48,363	4,222	44,097	81,717	
Maldives	669	264	2,070	4,284	1,387	1,197	7,201	1,297	114	71	192	
Mali	0	0	0	16	0	0	0	0	0	20	0	
Malta	212	37	103	387	65	126	418	113	127	169	142	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	18	0	16	59	31	31	32	13	230	876	
Mauritius	0	0	0	57	75	31	31	291	575	926	823	
Mexico	0	285	435	157	3	4,498	3,770	75	128	84	534	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	
Mongolia	0	23	0	0	0	53	34	0	71	205	268	
Morocco	5,249	8,645	10,286	11,037	14,202	22,705	54,095	57,318	32,520	69,720	98,497	
Mozambique	0	234	37	0	0	1,837	0	0	77	0	31,051	
Myanmar	0	0	0	65	42	217	0	0	66	0	36	
Namibia	0	0	0	0	0	0	0	590	0	774	1,082	
Nauru	0	0	0	0	0	0	0	0	0	0	0	
Nepal	109	49	16	101	153	30	173	0	19	191	42	
Netherland Antilles	0	38	0	0	0	0	0	0	0	0	187	
Netherlands	36,887	37,618	17,770	30,929	68,015	85,271	116,170	101,145	44,039	77,102	141,842	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	3,341	3,165	6,649	7,402	10,874	6,482	9,236	15,536	6,370	19,264	33,210	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	0	0	109	0	3	0	0	
Nigeria	281	1,340	5,242	703	1,231	0	270	1,768	947	2,226	1,366	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	0	
Norway	11,759	5,287	7,143	8,350	9,035	8,099	13,350	20,897	3,714	7,019	10,392	
Oman	20,062	14,263	11,352	15,009	41,453	23,519	42,046	91,447	87,264	160,558	768,209	
Pakistan	7,864	10,835	20,464	30,164	34,530	36,546	20,473	29,204	25,205	18,177	68,364	
Palau	0	0	0	0	0	0	0	0	0	0	0	
Palestine, State of	0	0	0	24	186	75	1	0	90	152	211	
Panama	52	0	0	0	0	0	0	0	0	0	96	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	1,295	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	77	0	0	70	0	0	8,868	4,191	102,433	
Philippines	11,226	3,935	804	2,396	6,742	3,137	1,584	1,789	1,730	4,202	404	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	109	44	37	16	27	8	507	402	1,037	264	
Portugal	67	2,654	5,911	7,161	6,160	6,632	4,058	1,360	2,090	750	4,071	
Qatar	68,644	64,692	77,712	68,957	114,000	103,803	125,117	289,819	229,904	619,447	778,246	
Republic of Moldova	0	12	0	0	0	0	0	0	0	6	0	
Romania	469	9	16	0	8	445	144	0	0	126	441	
Russian Federation	0	178	331	381	358	539	4,632	1,666	892	1,884	6,260	
Rwanda	0	0	0	0	0	0	0	0	0	131	0	
Saint Helena	0	0	45	0	0	0	0	0	5	0	0	
Saint Kitts and Nevis	0	0	0	0	78	0	53	0	0	0	0	
Saint Lucia	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	0	4	0	9	40	0	0	
Saudi Arabia	304,662	327,950	468,951	476,232	649,015	553,619	727,467	1,438,877	973,410	1,159,643	1,643,085	
Senegal	64	31	60	0	0	5	12	55	0	24	155	
Serbia	0	0	0	0	0	0	36	54	209	593	0	
Serbia and Montenegro	0	0	247	96	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	15	0	34	1	132	109	430	
Ship stores and bunkers	765	13,318	8,818	12,074	14,009	12,417	11,948	18,404	11,840	11,205	411	
Sierra Leone	0	0	0	0	0	0	0	0	0	0	0	
Singapore	5,961	6,797	14,682	24,694	27,312	153,326	48,580	32,892	23,834	42,106	40,480	
Slovakia	0	0	0	0	0	0	2,153	5	9	0	0	
Slovenia	79	0	0	0	13	1,298	22	1,260	66	140	48	
Solomon Islands	0	37	0	0	0	0	0	0	0	0	0	
Somalia	0	3	7	0	4	0	0	0	0	0	1	
South Africa	3,569	3,327	2,453	3,648	1,369	741	3,244	19,357	2,036	23,225	30,110	
Spain	5,075	3,474	6,823	9,362	9,146	11,080	16,005	47,676	12,047	24,606	32,756	
Special categories	0	0	0	0	0	4,233	0	0	0	0	0	
Sri Lanka	5,612	8,479	325	276	694	1,271	337	912	1,602	1,210	234	
St. Pierre and Miquelon	0	0	0	0	0	0	0	0	0	0	0	
Sudan (North + South)	3	147	492	393	1,664	2,106	1,134	4,484	2,429	4,965	11,124	
Suriname	0	0	0	0	0	0	0	0	0	0	0	
Swaziland	0	616	0	0	42	0	0	0	344	426	1,385	
Sweden	429	460	489	2,956	208	489	1,126	15,759	2,030	265	4,857	
Switzerland	5,335	5,753	3,344	1,139	2,862	2,192	6,134	8,133	9,908	18,251	13,904	
Syrian Arab Republic	7,520	11,433	4,902	3,108	12,926	28,334	57,737	66,270	51,314	67,926	69,138	
Taipei, Chinese	179,209	161,921	199,261	200,401	114,794	70,093	20,720	4,402	4,888	4,722	90,918	
Tajikistan	0	35	27	6	0	0	100	0	0	0	0	
Tanzania, United Republic of	29	0	17	1,239	515	1,129	295	1,022	722	2,650	4,682	
Thailand	16,295	20,374	33,323	28,640	88,944	92,847	78,215	69,661	20,737	30,817	22,522	
Timor-Leste	0	0	0	0	0	0	0	0	0	0	0	
Togo	0	0	129	13	28	58	48	34	0	360	420	
Tonga	0	0	0	0	0	0	0	0	7	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	0	
Tunisia	7,522	7,314	9,545	4,044	5,954	2,664	12,148	21,179	13,807	17,170	14,505	
Turkey	10,803	9,201	9,041	10,164	21,613	14,586	31,472	29,880	9,756	27,473	24,353	
Turkmenistan	0	5	0	0	0	0	0	0	10	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	111	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	0	0	
Uganda	0	352	0	436	434	273	202	515	91	380	0	
Ukraine	0	0	0	0	640	37	1,154	1,011	278	1,025	1,847	
United Arab Emirates	85,228	97,745	111,220	103,938	158,446	152,308	203,167	415,838	335,558	366,830	599,476	
United Kingdom	6,043	11,171	13,600	14,957	22,304	20,956	21,180	23,735	16,729	18,970	41,522	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0	0	0	
United States of America	450,777	457,458	284,092	242,119	262,274	218,576	370,988	309,561	209,990	236,284	301,092	
Uruguay	0	0	0	0	0	0	180	0	643	0	0	
Uzbekistan	0	0	0	0	0	0	68	0	0	0	0	
Vanuatu	0	0	0	50	0	456	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	9	0	10	45	
Viet Nam	166	650	121	0	974	4,412	466	2,166	2,252	2,127	1,400	
Yemen	5,491	3,788	2,751	1,144	963	707	6,860	8,396	11,842	15,359	10,882	
Zambia	0	43	0	0	0	0	0	0	0	9	0	
Zimbabwe	0	0	0	0	0	377	0	0	7	475	114	
