List of importing markets for a product exported by Montenegro Product: TOTAL All products
"Importers"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Montserrat	0	0	0	0	0	0	0	0	
Morocco	0	0	0	0	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	
Myanmar	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	4	0	0	
Netherlands	309	3,608	5,764	6,671	9,761	4,511	3,409	1,925	
New Zealand	1	0	0	0	0	0	0	1	
Nicaragua	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	59	33	0	0	
Nigeria	0	0	0	0	17	0	9	13	
Niue	0	0	0	0	0	0	0	0	
Norway	8	92	29	48	175	92	86	49	
Oman	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	0	15	0	0	
Palau	0	0	0	0	0	0	0	0	
Panama	0	136	0	0	0	1	10	3	
Papua New Guinea	0	0	0	0	0	0	0	60	
Paraguay	0	0	0	0	0	0	72	91	
Peru	0	0	0	0	0	0	0	17	
Philippines	0	0	0	0	0	0	75	63	
Pitcairn	0	0	0	0	0	0	0	0	
Poland	93	1	191	472	1,278	5,193	5,660	5,690	
Portugal	3	4	0	0	0	0	0	1	
Qatar	0	0	0	0	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	0	0	
Romania	1,407	164	1,474	967	3,212	658	2,833	231	
Russian Federation	338	805	1,544	2,116	2,279	3,827	9,537	7,681	
Rwanda	0	0	0	0	0	0	0	0	
Saint Helena	0	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	1	
Samoa	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	0	105	165	157	3	0	
Senegal	0	0	0	0	0	0	0	0	
Serbia	138,607	140,653	172,073	130,887	122,958	110,931	107,094	177,103	
Seychelles	144	0	0	0	0	18	0	0	
Sierra Leone	0	0	0	0	0	17	3	7	
Singapore	0	36	0	0	0	0	8	247	
Slovakia	107	234	576	713	870	566	404	250	
Slovenia	24,348	39,496	55,349	33,962	27,185	42,096	37,111	47,777	
Somalia	0	0	0	0	0	0	0	0	
South Africa	0	14	11	0	0	0	0	0	
Spain	184	282	127	175	97	437	36	172	
Sri Lanka	0	0	0	25	0	9	10	23	
Sudan (North + South)	0	0	0	0	0	0	0	0	
Suriname	0	0	0	0	0	0	0	0	
Swaziland	0	0	1	0	0	22	0	0	
Sweden	729	161	1,143	958	633	2,036	2,745	2,124	
Switzerland	692	1,102	2,629	310	2,913	20,256	3,370	3,524	
Syrian Arab Republic	4	8	9	0	0	0	3	0	
Taipei, Chinese	12	0	0	0	2	0	121	11	
Tajikistan	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	98	0	0	0	0	0	0	0	
Thailand	2	0	0	0	0	0	118	111	
Timor-Leste	0	0	0	0	0	0	0	0	
Togo	0	0	0	0	0	0	2	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	
Tunisia	1,570	0	0	0	0	0	0	0	
Turkey	187	1,467	448	1,943	6,601	15,604	15,033	12,911	
Turkmenistan	0	0	22	389	0	44	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	
Uganda	0	0	0	0	27	0	14	0	
Ukraine	2	460	985	321	492	258	2,241	418	
United Arab Emirates	126	7	0	2	372	115	414	95	
United Kingdom	2,124	3,834	5,860	2,683	5,491	6,149	5,859	4,424	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	
United States of America	609	2,437	1,321	10,363	610	847	1,218	986	
Uruguay	0	0	0	0	0	0	0	0	
Uzbekistan	0	6	0	0	0	0	0	75	
Vanuatu	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	
Viet Nam	0	0	0	0	1,253	0	0	5	
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	
Western Sahara	0	0	0	0	0	0	0	0	
Yemen	0	0	0	0	1,049	525	0	457	
Zambia	5	0	0	0	0	0	0	0	
Zimbabwe	0	0	0	0	0	0	0	0	
