List of importing markets for a product exported by Bosnia and Herzegovina Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	14	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	2	0	0	203	15	1	32	160	1,533	680	
British Indian Ocean Territories	0	0	0	0	35	104	0	0	0	0	0	
British Virgin Islands	0	25	7	9	30	953	4,009	0	9	0	4	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	2,731	1,140	3,724	25,490	35,295	18,212	5,250	7,563	11,208	24,745	50,710	
Burkina Faso	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	6	0	0	0	0	
Cambodia	0	0	0	1	0	14	0	0	0	7	260	
Cameroon	0	0	0	0	0	0	12	1	15	0	147	
Canada	531	3,226	12,827	4,397	3,823	5,356	3,387	3,412	7,288	7,044	4,324	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	81	0	0	0	0	0	0	19	0	0	0	
Chad	0	0	0	0	0	31	0	0	0	0	0	
Chile	29	13	16	20	14	32	10	10	21	6	86	
China	164	54	1,162	126	464	1,692	2,954	5,034	5,804	5,592	7,078	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	11	49	107	0	1	285	0	0	176	0	
Comoros	0	0	0	0	0	0	0	0	0	0	0	
Congo	2,138	1	324	36	254	127	72	70	47	49	7	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	10	0	0	0	0	5	0	0	17	0	
Côte d'Ivoire	1,434	18	0	0	92	0	5	1	0	11	0	
Croatia	208,204	329,271	489,538	640,686	762,375	865,245	674,786	724,661	856,807	765,148	810,515	
Cuba	0	5	0	0	9	0	0	0	159	35	48	
Cyprus	766	764	1,922	1,219	623	553	562	3,371	2,655	17,253	5,351	
Czech Republic	0	0	23,060	38,179	41,884	55,769	50,389	51,710	73,537	63,438	103,291	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	4	0	8	
Denmark	1,113	1,688	2,519	4,304	5,558	4,959	5,700	4,046	4,062	7,014	8,402	
Djibouti	0	5	0	0	0	0	462	34	0	243	0	
Dominica	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	59	188	0	1	29	
Ecuador	0	0	0	0	0	0	0	6	9	62	7	
Egypt	7,391	5,495	5,890	9,329	13,718	18,794	18,384	15,546	16,249	16,431	15,959	
El Salvador	0	105	11	8	0	14	0	0	20	314	0	
Eritrea	0	0	0	0	0	0	0	0	1	0	0	
Estonia	0	0	1	1	618	136	1	3	181	258	354	
Ethiopia	0	42	80	717	530	33	139	43	21	29	150	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	
Finland	30	251	203	566	195	1,272	976	273	842	1,283	1,555	
France	10,630	21,156	40,214	57,238	64,194	74,392	78,133	58,858	64,653	63,996	73,106	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	530	78	30	134	0	
Gambia	0	0	0	0	0	0	0	0	0	0	25	
Georgia	500	9	263	603	62	213	98	67	194	110	201	
Germany	191,685	183,383	270,847	443,869	533,023	680,282	580,157	732,853	862,639	792,774	889,088	
Ghana	0	10	0	0	51	0	0	26	3	0	17	
Gibraltar	30	685	2,123	1,059	202	50	154	24	0	2	381	
Greece	884	7,296	9,105	10,173	7,220	6,096	4,738	6,802	7,754	11,885	18,632	
Greenland	0	0	0	0	0	0	0	11	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	20	0	0	
Guinea	12	4	0	0	0	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	
Haiti	9	70	5	0	15	59	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	2	6	2	367	616	557	1,729	1,846	3,478	1,263	1,660	
Hungary	4,700	60,153	90,056	109,582	153,450	152,266	65,273	85,211	117,981	75,461	93,649	
Iceland	17	41	4	1,433	159	52	3,505	9	3	18	118	
India	2	17	71	293	9,077	672	22,228	26,347	15,152	11,137	1,121	
Indonesia	0	43	13	17	32	124	65	195	116	368	134	
Iran (Islamic Republic of)	1,165	1,634	1,718	1,508	1,791	1,422	9,076	30,252	32,349	18,600	19,089	
Iraq	108	298	974	703	15	45	1,067	380	221	327	7,605	
Ireland	536	358	1,002	539	1,513	1,952	944	1,004	933	569	105	
Israel	412	159	1,601	1,839	1,835	433	205	498	1,542	848	1,158	
Italy	144,487	255,227	313,312	473,525	544,864	630,595	502,585	584,639	686,762	618,391	682,473	
Jamaica	0	3	0	0	0	0	0	0	0	0	0	
Japan	0	16	110	199	299	1,308	425	435	283	687	627	
Jordan	211	671	1,024	168	1,204	386	736	249	733	3,140	1,565	
Kazakhstan	0	6	2,342	55	143	26	282	3	124	341	329	
Kenya	8	37	0	0	80	593	68	268	43	231	206	
Kiribati	0	0	0	0	0	0	0	0	40	0	22	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	0	0	
Korea, Republic of	184	19	54	25	23	13	3	129	175	1,002	885	
Kuwait	681	657	267	172	126	220	136	3,730	6,393	3,953	5,191	
Kyrgyzstan	17	0	3	3	0	0	253	3	116	108	33	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	0	0	
Latvia	0	1	33	280	50	153	0	120	643	1,015	940	
Lebanon	214	0	25	139	20	360	59	3,136	1,975	8,508	1,890	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	131	26	0	1	5	38	2	151	0	
Libya	2,770	1,380	8,635	4,175	3,091	15,434	13,535	24,813	2,927	3,365	3,052	
Lithuania	100	56,799	39,799	1,987	2,429	1,165	17,824	1,666	9,327	1,095	950	
Luxembourg	10,201	9,912	2,826	17,796	18,199	20,744	19,052	24,362	37,864	30,297	33,802	
Macao, China	0	0	0	0	0	0	0	0	9	17	0	
Macedonia, The Former Yugoslav Republic of	9,361	13,502	22,405	27,228	34,052	49,289	43,891	47,091	91,164	81,546	62,827	
Madagascar	0	11	0	0	3	2	0	1	0	0	0	
Malawi	0	0	0	0	0	0	0	13	0	0	0	
Malaysia	23	142	66	288	8,185	1,960	137	52	199	160	17	
Maldives	0	12	0	0	0	0	0	0	0	0	0	
Mali	0	0	0	0	0	74	0	0	18	6	0	
Malta	613	20	2	768	1	579	153	36	1,406	2,371	1,399	
Marshall Islands	9	0	0	0	40	7	92	0	0	0	0	
Mauritania	0	0	0	0	19	11	13	6	15	0	36	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	
Mayotte	0	0	0	0	0	0	0	0	0	0	0	
Mexico	474	402	136	400	521	866	1,194	796	1,199	3,444	1,139	
Mongolia	0	0	0	0	84	103	140	115	20	177	89	
Montenegro	0	0	0	0	108,900	172,970	163,983	209,897	213,703	163,510	183,641	
Montserrat	0	0	0	0	0	0	0	0	0	0	0	
Morocco	29	168	98	72	92	6,334	14,024	43,649	29,384	20,251	6,904	
Mozambique	0	0	95	0	0	0	1	0	0	0	39	
Myanmar	0	0	0	0	0	1,333	474	4	0	0	1	
Namibia	0	0	0	0	0	0	0	0	0	5	0	
Nauru	17	1	0	0	283	4	0	6	0	1	0	
Nepal	414	0	6	0	0	2	0	0	0	8	0	
Netherland Antilles	0	0	0	0	0	0	62	0	0	0	0	
Netherlands	5,983	10,321	22,630	27,970	39,754	56,789	44,317	54,750	100,148	82,072	74,955	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	0	10	15	2	1	0	1	2	22	20	27	
Nicaragua	5	1	0	0	0	0	0	0	1	0	0	
Niger	0	0	0	0	0	0	0	0	0	75	0	
Nigeria	0	0	0	389	0	2	5	22	40	495	529	
Niue	0	0	0	0	0	0	0	0	0	0	0	
Norway	180	957	1,791	3,879	4,642	9,720	5,503	5,423	8,038	8,156	9,140	
Oman	0	0	718	28	32	0	16	16	40	137	36	
Pakistan	2	7	162	280	213	251	63	122	405	81	74	
Palestine, State of	0	0	0	0	0	0	0	0	0	0	16	
Panama	0	14	4	0	0	0	0	0	0	0	0	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	19	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	1	0	0	0	0	0	24	58	43	
Philippines	0	347	0	0	0	0	1	0	0	11	0	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	
Poland	4,459	5,793	39,229	60,536	48,424	44,464	35,868	52,213	71,252	64,626	61,961	
Portugal	0	2,183	2,632	4,193	6,564	5,589	3,779	2,602	7,087	3,900	4,947	
Qatar	1	0	60	182	151	216	268	304	371	94	49	
Republic of Moldova	110	432	580	856	804	1,553	1,513	1,568	2,004	4,125	2,037	
Romania	289	2,207	29,384	44,776	39,353	66,104	40,030	47,063	43,049	74,548	82,093	
Russian Federation	290	419	3,088	4,908	5,300	11,199	18,335	25,654	37,841	36,805	38,795	
Rwanda	0	0	0	0	0	0	1	0	0	0	0	
Saint Helena	0	48	0	21	2	0	0	2	0	0	0	
Saint Kitts and Nevis	0	0	0	361	0	0	0	0	0	21	0	
Saint Lucia	0	0	0	0	0	0	4	0	1	0	0	
Saint Vincent and the Grenadines	0	9	0	0	0	0	0	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	0	0	0	4	0	0	0	
Saudi Arabia	138	2,927	38	629	599	586	559	2,360	820	3,517	4,102	
Senegal	0	0	0	0	0	0	3	20	20	0	396	
Serbia	0	0	0	452,518	570,104	758,592	525,973	602,647	711,432	465,487	518,605	
Serbia and Montenegro	3,824	261,887	371,200	0	0	0	0	0	0	0	0	
Seychelles	5	0	634	389	381	2,287	727	873	118	48	94	
Sierra Leone	699	210	101	537	85	200	27	2	83	23	145	
Singapore	8	39	91	103	1,038	432	4,074	1,041	3,652	1,388	2,693	
Slovakia	1,776	3,545	4,749	14,095	35,077	28,619	23,035	31,842	78,339	54,143	81,567	
Slovenia	109,122	136,216	230,563	417,916	451,338	459,917	330,998	414,014	502,845	429,060	465,886	
Solomon Islands	0	0	0	0	0	0	0	0	0	0	0	
Somalia	9	0	0	3	0	0	0	23	0	0	0	
South Africa	330	343	738	855	394	1,548	231	228	199	305	259	
Spain	1,944	12,554	12,333	21,801	23,850	27,149	27,589	35,654	49,986	62,812	72,737	
Special categories	0	0	0	0	0	32,580	0	0	0	0	0	
Sri Lanka	0	0	35	2	1	6	0	111	151	1,423	5,756	
Sudan (North + South)	130	27	863	105	72	2	174	274	385	711	570	
Suriname	7	0	0	7	512	145	96	170	25	138	169	
Swaziland	24	333	88	67	261	159	0	133	86	15	44	
Sweden	4,907	7,659	7,396	15,519	25,008	34,554	23,840	34,627	38,492	32,157	47,058	
Switzerland	124,623	62,557	31,999	64,571	81,658	131,023	74,518	105,388	106,587	51,658	79,016	
Syrian Arab Republic	858	266	731	847	1,728	173	201	608	262	91	0	
Taipei, Chinese	0	14	10	18	41	5	27	67	65	305	217	
Tajikistan	0	0	0	7	0	3	8	2	1	0	18	
Tanzania, United Republic of	0	0	0	76	0	11	276	363	346	378	346	
Thailand	0	9	2	17	27	8	18	30	31	37	0	
Timor-Leste	0	0	0	0	0	0	0	0	0	0	0	
Togo	0	115	1	0	0	0	67	32	27	7	3	
Tokelau	0	0	0	97	0	0	0	41	0	0	0	
Tonga	0	0	0	0	0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	0	
Tunisia	252	46	571	875	618	123	746	338	97	1,236	31,222	
Turkey	5,810	15,764	14,849	7,712	17,534	11,856	36,630	55,043	106,750	115,698	113,940	
Turkmenistan	41	0	3	0	0	0	0	0	0	0	0	
Turks and Caicos Islands	6	59	0	0	0	0	0	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	0	0	
Uganda	0	0	0	0	0	0	3	4	0	0	9	
Ukraine	266	657	2,779	6,875	5,978	8,297	9,648	6,884	9,665	13,180	14,312	
United Arab Emirates	240	14,501	1,308	294	1,013	1,485	598	796	2,137	5,847	7,343	
United Kingdom	5,108	18,042	44,529	10,791	15,301	46,382	16,910	21,331	19,003	19,283	29,352	
United States Minor Outlying Islands	0	0	0	3	0	0	0	0	0	0	0	
United States of America	8,982	13,775	82,125	122,846	105,731	107,944	13,920	12,095	11,978	17,958	16,797	
Uruguay	0	0	0	0	2	0	0	123	17	134	0	
Uzbekistan	14	4	0	0	16	0	0	13	0	0	23	
Vanuatu	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	0	29	
Viet Nam	0	8	0	120	23	20	0	41	46	427	565	
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	0	0	
Western Sahara	767	0	0	0	0	0	0	0	0	0	0	
Yemen	7	53	62	282	66	58	39	66	113	102	273	
Zambia	0	8	0	0	6	0	7	0	0	0	0	
Zimbabwe	0	0	12	1	1	0	2	0	3	0	0	
