List of importing markets for a product exported by Yemen Product: TOTAL All products
"Importers"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
French Polynesia	0	0	0	0	0	0	0	0	0	
Gabon	0	31	0	0	0	0	0	0	0	
Gambia	15	221	602	148	27	24	50	0	27	
Georgia	9	0	41	0	1	3	9	0	0	
Germany	4,322	3,887	10,324	13,516	33,653	17,593	19,192	12,298	7,232	
Ghana	513	336	406	546	1,232	726	1,104	1,643	1,123	
Gibraltar	5	0	0	0	0	0	0	0	0	
Greece	16,901	15,414	9,028	1,162	164	12	124,500	65,282	261	
Grenada	0	0	0	0	0	4	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	
Guinea	17	179	17	0	0	55	42	126	16	
Guinea-Bissau	36	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	27	0	0	0	0	
Honduras	0	4	0	0	400	431	0	0	0	
Hong Kong, China	9,568	5,707	3,050	3,041	4,229	4,530	8,243	3,691	2,075	
Hungary	1	0	0	0	376	59	96	14	1	
Iceland	0	0	5	0	0	0	10	0	0	
India	548,489	910,543	1,599,507	1,015,466	608,665	1,259,816	2,166,790	949,452	804,054	
Indonesia	417	151	708	610	2,071	2,139	1,018	4,609	896	
Iran (Islamic Republic of)	3,011	100	10	28	73	4	939	0	492	
Iraq	10,730	21,151	24,569	24,126	18,213	13,231	15,581	10,552	5,739	
Ireland	0	13	113	281	114	181	22	1	722	
Italy	11,140	7,512	12,459	30,813	13,043	5,569	9,176	9,985	8,456	
Jamaica	0	0	0	0	0	0	0	0	1	
Japan	125,302	395,890	148,509	406,711	113,353	341,879	66,599	87,309	103,625	
Jordan	1,098	1,399	1,961	5,970	13,641	9,003	7,955	13,387	23,351	
Kazakhstan	0	0	0	0	0	0	0	0	1	
Kenya	472	314	2,003	783	727	1,099	391	3,152	1,704	
Korea, Democratic People's Republic of	9	0	215,930	56	1,312	6	26	0	2	
Korea, Republic of	130,695	352,509	172,818	224,335	478,204	36,254	277,701	558,171	311,326	
Kuwait	59,397	116,860	159,977	127,539	188,371	96,708	71,098	19,755	2,161	
Lao People's Democratic Republic	0	0	0	0	0	7	0	0	0	
Latvia	89	0	0	0	0	5	0	0	0	
Lebanon	172	622	1,150	1,336	1,512	2,506	1,672	1,909	1,843	
Liberia	80	36	17	51	174	150	123	161	29,946	
Libya	3,544	497	789	1,551	1,913	949	1,884	6,219	3,398	
Lithuania	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	
Macao, China	0	0	0	8	5	8	0	0	0	
Macedonia, The Former Yugoslav Republic of	1	0	0	0	0	0	0	0	0	
Madagascar	66	23	0	0	66	0	17	0	0	
Malaysia	29,971	22,274	6,852	39,118	108,578	5,200	160,033	3,511	126,727	
Maldives	0	0	2	0	215	0	0	0	0	
Mali	52	71	49	49	0	0	150	0	626	
Malta	0	84	0	41	4	0	103	0	19,438	
Marshall Islands	0	0	0	0	0	0	0	0	0	
Mauritania	109	12	116	209	425	288	302	617	190	
Mauritius	17	0	30	340	668	281	108	102	10	
Mexico	27	0	0	0	125	11,595	6,744	14,563	4,057	
Mongolia	0	0	0	0	0	0	0	0	0	
Montserrat	0	0	0	0	0	0	0	0	0	
Morocco	99	61	67	147	181	48	64	45	243	
Mozambique	0	0	0	10	175	0	18	0	0	
Myanmar	0	0	0	0	0	0	0	0	1,390	
Namibia	0	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	187	0	0	
Netherland Antilles	0	0	0	0	0	0	0	0	0	
Netherlands	1,719	2,835	1,068	1,447	38,498	31,170	23,546	36,965	36,748	
New Caledonia	0	0	0	0	0	0	0	0	0	
New Zealand	68,813	64,620	25,060	6	246	32	5	27	156,594	
Nicaragua	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	43	0	0	0	0	0	
Nigeria	0	0	0	0	56	20	86	261	7	
Niue	0	0	0	0	0	0	0	0	0	
Norfolk Island	0	0	0	0	1	0	0	0	0	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	
Norway	0	0	21	21	29	19	1	3	2	
Oman	2,742	2,953	3,600	3,648	10,706	10,826	9,980	20,033	11,905	
Pakistan	6,055	1,684	1,693	3,485	1,784	708	4,403	1,700	1,317	
Palestine, State of	0	0	1	0	0	0	0	0	0	
Panama	0	26	139	80	286	195	0	51	0	
Paraguay	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	
Philippines	0	0	1	34	3	14	66	6	20	
Poland	279	352	541	939	768	334	443	897	455	
Portugal	295	421	337	91	133	357	236	480	174	
Qatar	297	2,836	1,235	861	1,850	1,583	1,510	888	3,662	
Republic of Moldova	0	0	0	0	0	0	0	0	0	
Romania	80	29	85	12	1,056	485	55	47	6	
Russian Federation	2	0	174	40	20	95	485	7	3,094	
Saint Helena	0	0	0	0	1	0	0	5	67	
Saint Lucia	0	0	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	
Saudi Arabia	88,554	99,035	101,992	105,153	139,044	162,594	205,379	348,759	248,233	
Senegal	21	38	0	42	110	0	81	1,349	1	
Serbia	0	0	0	9	6	0	0	2	0	
Serbia and Montenegro	0	0	0	0	0	0	0	0	0	
Seychelles	578	37	0	0	302	86	165	0	175	
Ship stores and bunkers	26,750	26,094	21,679	30,282	37,548	18,964	13,958	5,325	8,386	
Sierra Leone	30	16	130	122	66	17	0	1	73	
Singapore	192,774	39,948	45,971	75,905	151,904	432,393	642,454	28,987	193,508	
Slovakia	0	0	0	0	0	1	0	0	0	
Slovenia	0	0	0	1	4	0	0	0	0	
Solomon Islands	0	44	0	0	0	1	0	0	0	
Somalia	18,762	22,986	24,274	36,383	42,605	41,817	53,453	76,560	56,947	
South Africa	113,447	167	41,272	260,417	207,984	393,727	530	527	111,285	
Spain	6,182	7,932	10,071	13,023	12,614	15,891	38,176	9,058	4,014	
Sri Lanka	340	541	594	2,056	2,619	4,237	5,719	3,852	4,718	
Sudan (North + South)	1,371	1,829	1,021	3,415	1,877	7,185	7,296	10,078	15,040	
Suriname	0	0	0	0	0	0	0	0	1	
Swaziland	0	0	0	0	0	0	0	0	0	
Sweden	114	527	1,756	1,178	1,580	367	1,045	848	644	
Switzerland	23,572	295,264	238,010	433,942	185,232	17,913	674	27,223	96,244	
Syrian Arab Republic	315	3,800	3,663	5,533	5,459	6,266	6,684	7,247	2,641	
Taipei, Chinese	631	598	253	356	1,598	1,354	2,246	42,908	3,787	
Tajikistan	0	9	0	0	0	0	0	0	0	
Tanzania, United Republic of	62	356	678	2,007	3,879	3,483	4,013	3,319	3,074	
Thailand	1,180,729	666,300	965,367	1,235,111	1,819,918	1,148,923	231,624	1,268,485	1,357,919	
Timor-Leste	0	6	0	0	0	0	0	0	0	
Togo	0	0	0	0	0	0	185	210	0	
Tokelau	0	0	0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	2	0	0	0	0	
Tunisia	1,079	1,015	634	1,212	2,803	2,610	1,535	1,238	520	
Turkey	614	1,304	2,903	834	1,590	867	1,497	744	518	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	
Uganda	0	1	0	0	239	124	100	48	0	
Ukraine	5	2,195	83	0	373	2	74	0	499	
United Arab Emirates	39,054	184,503	245,601	399,288	574,064	361,771	330,151	202,851	54,866	
United Kingdom	15,292	11,574	401,177	11,200	20,649	27,188	72,019	137,511	9,229	
United States Minor Outlying Islands	0	4	7	0	0	3	1,373	12	0	
United States of America	86,038	201,055	423,546	217,651	70,257	26,520	148,351	306,976	55,031	
Uruguay	0	0	0	0	0	0	0	0	0	
Uzbekistan	0	0	0	0	0	0	0	0	0	
Vanuatu	11	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	162	0	0	0	0	
Viet Nam	512	499	1	1,969	19,054	26,465	27,927	56,693	39,645	
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	
Western Sahara	0	0	0	0	0	0	42	0	0	
Zambia	0	0	0	0	0	43	6	0	22	
Zimbabwe	0	0	0	26	63	0	0	217	9	
